id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;true;fr;system;system
2;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;true;fr;system;system
10;maintenance.tech;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Youssef;Maintenance_Technicien;youssef.tech@ocp.ma;;true;fr;system;system
11;maintenance.manager;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Khadija;Maintenance_Manager;khadija.manager@ocp.ma;;true;fr;system;system
12;operations.operator;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Hamza;Operations_Operator;hamza.ops@ocp.ma;;true;fr;system;system
13;operations.supervisor;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Salma;Operations_Supervisor;salma.supervisor@ocp.ma;;true;fr;system;system
14;security.officer;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Rachid;Security_Officer;rachid.security@ocp.ma;;true;fr;system;system
15;site.manager;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Nadia;Site_Manager;nadia.site@ocp.ma;;true;fr;system;system
16;asset.manager;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Omar;Asset_Manager;omar.asset@ocp.ma;;true;fr;system;system
17;logistics.agent;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Imane;Logistics_Agent;imane.logistics@ocp.ma;;true;fr;system;system
18;viewer.audit;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Adil;Audit_Viewer;adil.audit@ocp.ma;;true;fr;system;system
19;it.admin;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Soufiane;IT_Admin;soufiane.it@ocp.ma;;true;fr;system;system
